year	streamflow_cms
1939	576
1940	414
1941	472
1942	458
1943	684
1944	408
1945	371
1946	333
1947	570
1948	502
1949	810
1950	366
1951	690
1952	570
1953	288
1954	295
1955	498
1956	470
1957	774
1958	388
1959	408
1960	448
1961	822
1962	414
1963	515
1964	748
1965	570
1966	726
1967	580
1968	450
1969	478
1970	340
1971	246
1972	568
1973	520
1974	449
1975	357
1976	276
1978	736
1979	822
1980	550
1983	698
1984	585
1985	1017
1986	437
1987	549
1988	601
1989	288
1990	481
1991	927
1992	827
1993	424
1994	603
1995	633
1996	695
1998	296
1999	427
