year	streamflow_cfs
1942	12.03
1944	5.503
1945	6.103
1946	5.603
1947	7.74
1948	4.76
1949	5.38
1950	4.67
1951	8.59
1952	5.21
1953	6.64
1954	3.70
1955	16.37
1956	7.06
1957	3.64
1958	6.16
1959	4.352
1960	6.10
1961	4.03
1962	3.24
1963	4.81
1964	4.88
1965	1.98
1966	2.112
1967	2.97
1968	2.90
1969	4.07
1970	4.31
1971	3.30
1972	5.88
1973	9.25
1974	5.71
1975	4.87
1976	5.21
1977	4.66
1978	5.88
1979	5.27
1980	5.10
1981	3.69
1982	3.33
1983	7.10
1984	6.65
1985	10.60
1986	6.97
1987	6.18
1988	3.72
1989	5.90
1990	3.08
1991	3.85
1992	3.11
1993	6.58
1994	5.17
1995	3.20
1996	9.65
1997	6.18
1998	3.61
1999	5.15
2000	3.34
2001	3.98
2002	8.34
2003	5.44
2004	11.59
2005	9.26
2006	11.77
2007	5.19
2008	6.15
2009	5.19
2010	5.23
2011	11.74
2012	2.97
2013	3.87
2014	6.25
2015	2.58
2016	3.65
2017	3.88
