year	streamflow_cfs
1907	41500
1908	57000
1909	44000
1910	49000
1911	31000
1912	45900
1913	19000
1914	41100
1915	37300
1916	76000
1917	33200
1918	61200
1919	76000
1920	59800
1921	44400
1922	58400
1923	53600
1924	59800
1925	63300
1926	57700
1927	64000
1928	63500
1929	38000
1930	74600
1931	13100
1932	37600
1933	67500
1934	21700
1935	37000
1936	93500
1937	58500
1938	63300
1939	74400
1940	34200
1941	14600
1942	44200
1943	13100
1944	73300
1945	46600
1946	39400
1947	41200
1948	41300
1949	62000
1950	90000
1951	50600
1952	41900
1953	35000
1954	16500
1955	35300
1956	30000
1957	52600
1958	99000
1959	89000
1960	39500
1961	55400
1962	46000
1963	63000
1964	58300
1965	36500
1966	14600
1967	64900
1968	68500
1969	69100
1970	42600
1971	31000
1972	39400
1973	40700
1974	53400
1975	36000
1976	43900
1977	23600
1978	50500
1979	49700
1980	48100
1981	44500
1982	56400
1983	60800
1984	40400
1985	80400
1986	41600
1987	14700
1988	33300
1989	40700
1990	53300
1991	77400
